id,id_stacji,stacja,data_pomiaru,godzina_pomiaru,temperatura,predkosc_wiatru,kierunek_wiatru,wilgotnosc_wzgledna,suma_opadu,cisnienie,data_godzina
187,12295,Białystok,2025-05-16,20:00:00,5.5,2.0,190.0,88.7,10.2,1007.0,2025-05-16 20:00:00
188,12600,Bielsko Biała,2025-05-16,20:00:00,6.9,3.0,230.0,90.7,2.9,1012.4,2025-05-16 20:00:00
189,12235,Chojnice,2025-05-16,20:00:00,7.1,5.0,320.0,92.6,6.9,1008.3,2025-05-16 20:00:00
190,12550,Częstochowa,2025-05-16,20:00:00,6.1,1.0,220.0,86.9,1.5,1011.2,2025-05-16 20:00:00
191,12160,Elbląg,2025-05-16,20:00:00,4.8,3.0,170.0,99.3,26.1,1002.9,2025-05-16 20:00:00
192,12155,Gdańsk,2025-05-16,20:00:00,8.3,7.0,320.0,94.0,9.4,1003.0,2025-05-16 20:00:00
193,12300,Gorzów,2025-05-16,20:00:00,10.0,3.0,330.0,69.8,1.2,1013.5,2025-05-16 20:00:00
194,12135,Hel,2025-05-16,20:00:00,7.8,8.0,330.0,97.3,3.2,1003.2,2025-05-16 20:00:00
195,12500,Jelenia Góra,2025-05-16,20:00:00,8.0,3.0,310.0,80.6,7.6,1014.0,2025-05-16 20:00:00
196,12435,Kalisz,2025-05-16,20:00:00,7.9,4.0,280.0,97.3,0.6,1010.1,2025-05-16 20:00:00
197,12650,Kasprowy Wierch,2025-05-16,20:00:00,-3.6,2.0,270.0,100.0,13.6,0.0,2025-05-16 20:00:00
198,12560,Katowice,2025-05-16,20:00:00,7.5,3.0,230.0,94.0,0.4,1011.9,2025-05-16 20:00:00
199,12185,Kętrzyn,2025-05-16,20:00:00,5.4,2.0,300.0,90.6,11.1,1005.2,2025-05-16 20:00:00
200,12570,Kielce,2025-05-16,20:00:00,2.5,1.0,330.0,91.7,0.5,1011.3,2025-05-16 20:00:00
201,12520,Kłodzko,2025-05-16,20:00:00,7.0,1.0,150.0,92.6,4.2,1013.4,2025-05-16 20:00:00
202,12345,Koło,2025-05-16,20:00:00,7.9,5.0,290.0,80.6,6.2,1008.1,2025-05-16 20:00:00
203,12100,Kołobrzeg,2025-05-16,20:00:00,10.9,9.0,310.0,78.8,2.3,1012.5,2025-05-16 20:00:00
204,12105,Koszalin,2025-05-16,20:00:00,10.0,5.0,330.0,75.9,1.8,1011.6,2025-05-16 20:00:00
205,12488,Kozienice,2025-05-16,20:00:00,6.3,2.0,220.0,82.7,0.7,1009.4,2025-05-16 20:00:00
206,12566,Kraków,2025-05-16,20:00:00,7.7,3.0,230.0,94.0,4.4,1011.7,2025-05-16 20:00:00
207,12670,Krosno,2025-05-16,20:00:00,7.4,1.0,150.0,79.9,7.4,1011.0,2025-05-16 20:00:00
208,12415,Legnica,2025-05-16,19:00:00,11.0,4.0,320.0,63.4,8.5,1012.2,2025-05-16 19:00:00
209,12690,Lesko,2025-05-16,20:00:00,6.7,1.0,200.0,83.9,11.9,1011.6,2025-05-16 20:00:00
210,12418,Leszno,2025-05-16,20:00:00,9.4,7.0,310.0,79.7,4.9,1012.4,2025-05-16 20:00:00
211,12125,Lębork,2025-05-16,20:00:00,8.2,5.0,310.0,87.1,8.7,1007.0,2025-05-16 20:00:00
212,12495,Lublin,2025-05-16,20:00:00,5.0,2.0,260.0,88.7,2.2,1010.0,2025-05-16 20:00:00
213,12120,Łeba,2025-05-16,20:00:00,8.9,6.0,340.0,81.8,4.5,1007.5,2025-05-16 20:00:00
214,12465,Łódź,2025-05-16,20:00:00,6.8,4.0,230.0,90.1,2.2,1009.3,2025-05-16 20:00:00
215,12280,Mikołajki,2025-05-16,20:00:00,5.6,2.0,280.0,90.6,13.5,1005.5,2025-05-16 20:00:00
216,12270,Mława,2025-05-16,20:00:00,5.4,2.0,240.0,93.9,6.3,1006.5,2025-05-16 20:00:00
217,12660,Nowy Sącz,2025-05-16,20:00:00,8.5,2.0,260.0,71.5,4.7,1011.0,2025-05-16 20:00:00
218,12272,Olsztyn,2025-05-16,20:00:00,5.3,2.0,190.0,95.9,13.2,1005.0,2025-05-16 20:00:00
219,12530,Opole,2025-05-16,20:00:00,7.9,2.0,290.0,92.0,1.1,1012.0,2025-05-16 20:00:00
220,12285,Ostrołęka,2025-05-16,20:00:00,5.9,1.0,200.0,88.7,11.3,1006.7,2025-05-16 20:00:00
221,12230,Piła,2025-05-16,20:00:00,8.8,3.0,310.0,80.7,0.7,1010.6,2025-05-16 20:00:00
222,12001,Platforma,2025-05-16,20:00:00,0.0,22.0,10.0,0.0,0.0,0.0,2025-05-16 20:00:00
223,12360,Płock,2025-05-16,20:00:00,6.5,3.0,220.0,88.8,3.5,1007.5,2025-05-16 20:00:00
224,12330,Poznań,2025-05-16,20:00:00,8.3,6.0,290.0,88.9,2.8,1011.1,2025-05-16 20:00:00
225,12695,Przemyśl,2025-05-16,20:00:00,7.5,2.0,250.0,85.2,11.2,1010.8,2025-05-16 20:00:00
226,12540,Racibórz,2025-05-16,20:00:00,8.0,4.0,260.0,87.7,1.0,1012.2,2025-05-16 20:00:00
227,12210,Resko,2025-05-16,20:00:00,9.4,3.0,290.0,79.7,4.8,1012.5,2025-05-16 20:00:00
228,12580,Rzeszów,2025-05-16,20:00:00,7.9,2.0,240.0,84.6,3.9,1010.5,2025-05-16 20:00:00
229,12585,Sandomierz,2025-05-16,20:00:00,5.5,2.0,290.0,82.6,1.6,1010.5,2025-05-16 20:00:00
230,12385,Siedlce,2025-05-16,20:00:00,5.9,2.0,210.0,90.6,6.3,1008.5,2025-05-16 20:00:00
231,12310,Słubice,2025-05-16,20:00:00,10.3,2.0,340.0,69.9,0.5,1014.8,2025-05-16 20:00:00
232,12469,Sulejów,2025-05-16,20:00:00,5.5,4.0,220.0,90.0,3.3,1010.0,2025-05-16 20:00:00
233,12195,Suwałki,2025-05-16,20:00:00,5.4,2.0,130.0,95.9,6.6,1005.1,2025-05-16 20:00:00
234,12205,Szczecin,2025-05-16,20:00:00,11.7,4.0,290.0,65.8,5.1,1014.1,2025-05-16 20:00:00
